0.34621 0.00000
1.38655 0.00170
2.16372 0.01672
2.44341 0.03852
2.68557 0.06520
2.91332 0.10215
3.19801 0.14359
3.48270 0.19189
3.76739 0.24059
4.05208 0.29008
4.33677 0.34116
4.62146 0.39382
4.90615 0.44489
5.19084 0.49082
5.47552 0.53398
5.76021 0.57476
6.11607 0.61950
6.47194 0.66965
6.89897 0.71188
7.39718 0.75213
7.96655 0.79014
8.74945 0.82470
10.03055 0.85806
11.59634 0.87995
13.16213 0.89146
14.72792 0.89953
16.29371 0.90543
17.85950 0.91047
19.42529 0.91464
20.99108 0.91795
22.55687 0.92055
24.12265 0.92271
25.68844 0.92386
27.25423 0.92558
28.82002 0.92674
30.38581 0.92688
31.95160 0.92832
33.51739 0.92947
35.08318 0.92990
36.64897 0.92990
38.21476 0.92990
39.78055 0.92990
41.34634 0.92890
42.91213 0.92299
44.47792 0.90946
46.04371 0.88470
47.39598 0.84814
48.39239 0.81429
49.24646 0.77945
50.02936 0.74144
50.66991 0.70541
51.23928 0.66701
51.80866 0.63098
52.37804 0.59495
52.94742 0.55615
53.51680 0.51814
54.01500 0.48066
54.44204 0.44582
54.94024 0.41163
55.50962 0.37481
56.07900 0.33759
56.64838 0.30038
57.21775 0.26593
57.78713 0.22911
58.42768 0.19538
59.21058 0.15969
60.13582 0.12357
61.34574 0.08816
62.84036 0.05310
64.40615 0.02906
65.97194 0.01596
67.53773 0.00789
69.10352 0.00343
